	A_tot	Perf_tot	Perf_area
0	6.107972738754681e-06	9	1.956318911746557e-06
1	9.288797073292389e-06	12	4.239461169072169e-06
2	6.218148434861769e-06	8	1.942601137829561e-06
3	6.623296031666257e-06	7	1.8386783814520963e-06
4	7.557161639683561e-06	12	3.289715855049928e-06
5	7.963479191532628e-06	11	3.3736636950987764e-06
6	9.143041795058229e-06	10	3.7415670896147446e-06
7	8.370662263049272e-06	11	3.9815346143732505e-06
8	8.685743106800004e-06	8	3.2834492235208856e-06
9	6.811779698308982e-06	8	2.007872421964336e-06
10	8.667061083843577e-06	14	4.751515117635715e-06
11	9.408758314684948e-06	13	5.0554495604232e-06
12	8.351248774016573e-06	8	2.3692528891813197e-06
13	8.782698067174067e-06	12	4.018669406114166e-06
14	6.513796103129561e-06	7	1.8057713966102474e-06
15	7.022727245043122e-06	10	2.5289921847159947e-06
16	7.269884257646397e-06	6	2.0387838135543385e-06
17	6.528366319793971e-06	7	1.526692889610697e-06
18	8.479537606629778e-06	5	2.8308714972271778e-06
19	8.082462952654265e-06	11	3.3859621769404377e-06
20	7.2642819897743286e-06	6	1.6334732015162884e-06
21	9.855579271621682e-06	11	4.737031568244848e-06
22	6.2315937874793565e-06	5	1.0791386841171803e-06
23	8.889054820405454e-06	14	4.305812782415181e-06
24	7.655055496694056e-06	8	2.841412341352315e-06
25	7.0097624441314425e-06	10	2.0417256358870377e-06
26	9.269002729284218e-06	10	4.3042761687562915e-06
27	8.694074488296616e-06	12	4.19977977146096e-06
28	1.3103861227527637e-05	7	7.3322705808764255e-06
29	1.4669267822745279e-05	11	1.0148583550262924e-05
30	7.715551902392487e-06	8	2.7251674649027536e-06
31	7.737129810371794e-06	9	2.747116173117859e-06
32	7.502683648926502e-06	12	3.4353553424432775e-06
33	7.684954342026526e-06	8	2.591414376259829e-06
34	6.582355519891393e-06	8	1.7558799467600942e-06
35	8.823119007233684e-06	12	4.1825132950346934e-06
36	7.5390335546228594e-06	11	2.9415463625378735e-06
37	1.0253250317123842e-05	10	5.018820391504366e-06
38	6.377829093435298e-06	9	1.9227429700884993e-06
39	9.194660239108686e-06	11	3.72132145428207e-06
40	8.509747241318378e-06	10	4.0354820093094525e-06
41	7.472322682977695e-06	10	3.4768582596821194e-06
42	8.155600667811255e-06	10	3.308829779087133e-06
43	8.792571296436453e-06	16	4.56272610052052e-06
44	9.99116845448341e-06	11	5.492786009252049e-06
45	7.899906540219736e-06	10	3.2334165296134733e-06
46	9.976031185038525e-06	9	4.634784934213235e-06
47	7.88262871342293e-06	8	2.8586383354702747e-06
48	9.817959832936968e-06	13	4.9222149461269676e-06
49	8.928464420820855e-06	10	4.075104440643407e-06
50	6.079111207633594e-06	5	9.940520330343642e-07
51	6.669278114400885e-06	10	2.501832891132676e-06
52	6.849994475210473e-06	12	2.7735907688474725e-06
53	7.01414160443695e-06	8	2.2161519671674262e-06
54	9.48262322071179e-06	12	4.8879196799685815e-06
55	8.52749279354806e-06	8	3.0486505222551225e-06
56	9.127861466214948e-06	10	4.096152039221934e-06
57	7.77723064309069e-06	9	3.119048107311663e-06
58	7.4586467198431635e-06	8	2.2653478797016566e-06
59	8.81474145300857e-06	10	3.903843501022457e-06
60	1.0691528824967079e-05	13	6.034317534732789e-06
61	5.919244758945315e-06	8	1.761082489670228e-06
62	8.697704476914355e-06	9	3.765767069421163e-06
63	7.4514034908387524e-06	11	2.9861353815809448e-06
64	6.940759574926497e-06	9	2.177948477632609e-06
65	7.866850775649046e-06	10	3.541176364077714e-06
66	6.702780360871364e-06	8	1.7392659135546684e-06
67	6.214968852490328e-06	7	1.5175637381810089e-06
68	7.696550548825864e-06	11	2.9089475408116616e-06
69	5.9602017812052375e-06	4	1.2347942625704027e-06
70	9.21998280821452e-06	13	4.439124073026304e-06
71	8.456594873453087e-06	12	3.8241469245578744e-06
72	6.944222850888564e-06	10	2.9247840891957393e-06
73	7.223927197932983e-06	11	3.0406502612442088e-06
74	8.107957972616102e-06	11	3.7474131850258635e-06
75	6.428525273697348e-06	11	2.7127452755935413e-06
76	9.716517456582449e-06	10	4.925816197820908e-06
77	7.197733852791465e-06	9	2.549096477995112e-06
78	8.309942806637271e-06	11	3.8039253488720943e-06
79	7.882169851425247e-06	10	3.151904475134955e-06
80	8.181884814551117e-06	9	2.852215186187434e-06
81	7.417027435953366e-06	9	2.260470909317575e-06
82	7.836959531196651e-06	6	2.643242252523898e-06
83	8.638266153099088e-06	11	3.9036040200715836e-06
84	6.067579811210005e-06	8	1.4997584125034581e-06
85	6.191836921062849e-06	8	1.4803771065339346e-06
86	7.964008624370183e-06	10	3.217205121285083e-06
87	5.806803319317462e-06	6	1.2441746843225988e-06
88	6.65757428613293e-06	8	2.1320694329489373e-06
89	7.441133054198886e-06	9	2.4253413648448425e-06
90	6.550246986127314e-06	8	1.6867437980631894e-06
91	7.409280843248843e-06	7	2.200156167757867e-06
92	8.369446764092547e-06	10	3.5630998772875064e-06
93	7.083227697749134e-06	6	1.7371597186864188e-06
94	6.6028137420150905e-06	7	1.926665753213382e-06
95	9.080357913275956e-06	10	3.914504067694577e-06
96	7.651475030168028e-06	13	3.1533989024146783e-06
97	8.547707401646168e-06	8	3.3916515643288505e-06
98	6.499502321618071e-06	4	1.4221329664071876e-06
99	8.313611668932786e-06	10	3.3633746751951064e-06
100	6.293023795273437e-06	9	1.8999655541961523e-06
101	1.142239823618651e-05	11	6.9832814970253075e-06
102	6.106928413074687e-06	3	7.459118730914642e-07
103	7.837613733269021e-06	9	2.726949879243192e-06
104	7.192617188200622e-06	7	2.133316134590209e-06
105	6.210218218750654e-06	8	1.9258098103783866e-06
106	8.380144946676455e-06	13	3.947087898375813e-06
107	6.497331657047851e-06	7	1.7406580659607896e-06
108	1.1085447295500872e-05	12	6.056083594397181e-06
109	7.383361205817872e-06	7	2.1576281457268744e-06
110	6.94706846603693e-06	8	2.014722346194228e-06
111	8.319873994424528e-06	11	3.169024932912656e-06
112	1.0536133193126245e-05	15	6.196608771711731e-06
113	6.626959316748295e-06	5	1.3925119592154169e-06
114	8.327691056118857e-06	10	3.772655422315133e-06
115	9.273558179502122e-06	14	5.084206367793733e-06
116	7.138918788739697e-06	4	1.0356785711099785e-06
117	1.3522294713169147e-05	9	9.08427217466665e-06
118	8.915225097537207e-06	12	3.784503244555361e-06
119	7.243943663650171e-06	7	2.0752049131026345e-06
120	8.189406606762599e-06	8	2.9640835332469508e-06
121	6.704399920300761e-06	8	1.8740399779682745e-06
122	7.789894735983585e-06	9	2.3932993127591495e-06
123	7.075157864676393e-06	9	2.4592187257174447e-06
124	6.711399968374483e-06	7	2.037600098641622e-06
125	7.088657685965612e-06	9	2.1821313683552207e-06
126	6.801307686941936e-06	7	2.163751258781393e-06
127	9.590688343687594e-06	11	4.716730976245035e-06
128	1.0518002117650746e-05	16	6.299503178550127e-06
129	8.706602027203694e-06	10	3.6857596774535308e-06
130	8.237608357810128e-06	9	3.348868856085126e-06
131	7.70469310525542e-06	3	2.424699272998841e-06
132	6.9307777825669936e-06	7	1.8735709734938454e-06
133	7.290315315453101e-06	9	2.9689280322969406e-06
134	6.2625500017371814e-06	8	1.6318532696155151e-06
135	6.577234564674062e-06	8	1.4609987052350325e-06
136	5.817939568873391e-06	7	1.4550820697564846e-06
137	1.0161801121204158e-05	12	5.887272403579868e-06
138	7.085231026184796e-06	4	1.4390880188866087e-06
139	7.018729810843394e-06	10	2.6075636668676577e-06
140	7.130056854728888e-06	10	2.5918246867310105e-06
141	8.350628557737363e-06	9	3.8082890552671608e-06
142	7.954935632969873e-06	10	3.363463570742415e-06
143	6.184644427811549e-06	8	1.5986835050650013e-06
144	5.5861222954413625e-06	7	1.332629491339146e-06
145	7.130609282904965e-06	9	2.4730464937871328e-06
146	7.5405352119691785e-06	11	2.971220006361243e-06
147	8.090012484097105e-06	12	3.630905930360591e-06
148	7.616416615973591e-06	14	3.3851389646008143e-06
149	8.209086070102546e-06	13	3.737988700445313e-06
150	9.536769432802962e-06	10	4.866453753847217e-06
151	7.345444851571652e-06	12	3.0592631376911523e-06
152	1.1716020658478144e-05	10	6.904530016458966e-06
153	6.2912873101282824e-06	9	1.821990677287704e-06
154	7.8198230232845e-06	9	2.469213379253284e-06
155	1.038936400108123e-05	10	5.697176649087635e-06
156	8.04558219153873e-06	9	3.5174218477921754e-06
157	9.13476879502897e-06	11	4.3227434340222295e-06
158	9.237551061954242e-06	13	4.7105468599373265e-06
159	8.578738244813347e-06	13	4.062890347975438e-06
160	6.786034877607721e-06	6	1.7805944692203674e-06
161	9.843876762470433e-06	13	5.291332943850357e-06
162	8.677715832131186e-06	14	4.555086555622869e-06
163	6.476990152496287e-06	6	1.6430554840509847e-06
164	8.188091061973524e-06	11	3.370117095431169e-06
165	6.912819793752421e-06	9	2.2608491687925273e-06
166	7.670530290491314e-06	10	3.274205545775528e-06
167	7.348270422364621e-06	9	2.586363115157588e-06
168	6.3661825778971976e-06	10	2.135141738137004e-06
169	6.4423253974502825e-06	7	1.5961929379298808e-06
170	7.225805223530459e-06	9	2.14516657313425e-06
171	7.142192522252458e-06	8	1.9579859129079506e-06
172	6.611368993540319e-06	7	2.4592581204029226e-06
173	7.337816479380042e-06	8	1.8674175566873984e-06
174	8.422134383159153e-06	10	3.6782296009338056e-06
175	1.254430180719842e-05	12	8.20402342866746e-06
176	9.331598624527451e-06	12	4.466215384418799e-06
177	6.691091690905716e-06	8	1.452125892544426e-06
178	6.257412553301491e-06	10	2.3557816249078095e-06
179	9.047980865054467e-06	13	4.609126300969994e-06
180	8.604689814573707e-06	12	4.167537501617998e-06
181	6.37545688724929e-06	5	1.4622820641473303e-06
182	8.31609373863227e-06	11	3.4207467460447526e-06
183	6.8403589584253505e-06	10	2.491823485288371e-06
184	8.452068124514557e-06	11	4.088558142773889e-06
185	6.420210495136579e-06	9	1.634269970141499e-06
186	7.358576497649969e-06	6	1.7581425553775787e-06
187	8.474908837650424e-06	12	3.588041043241482e-06
188	7.432682419629292e-06	11	2.793756396558529e-06
189	7.007429675171302e-06	9	2.1296227984898326e-06
190	7.618790370365352e-06	9	2.5902019260485814e-06
191	8.011649627383006e-06	10	3.158583382494144e-06
192	7.676953557097651e-06	13	3.258153462911646e-06
193	7.221543048703215e-06	8	2.445527578807232e-06
194	8.49938298718934e-06	11	3.908451132991061e-06
195	6.73407443107961e-06	10	2.4825858563695432e-06
196	9.724462417739801e-06	9	4.775849479258641e-06
197	7.270440188724459e-06	7	2.2459223058141264e-06
198	6.054995676480871e-06	10	2.107411582044205e-06
199	8.143948138428092e-06	9	2.58242995933815e-06
200	5.7364159212970836e-06	3	6.691717792430988e-07
201	6.731262515105283e-06	7	1.6592230377684848e-06
202	7.311272106646402e-06	4	1.6287030108949707e-06
203	6.067255625340529e-06	6	1.6130907722110262e-06
204	8.267879398358425e-06	7	2.7099696887898706e-06
205	7.568210765542743e-06	7	2.2304257277136974e-06
206	8.808386032992432e-06	12	3.879023648487366e-06
207	7.74491092013465e-06	8	2.6072861858346254e-06
208	8.664813712248554e-06	13	4.136047615663233e-06
209	7.610613898472089e-06	10	3.1460775272888142e-06
210	7.898479378808958e-06	11	3.0788125491395933e-06
211	6.484180518266214e-06	7	1.8386320694626535e-06
212	1.2612297488803115e-05	8	7.116997416976451e-06
213	7.286785532883981e-06	11	2.841846370942966e-06
214	8.664047113307495e-06	12	3.95856392609881e-06
215	6.4752917567348416e-06	7	2.107427665562689e-06
216	7.464758970237178e-06	6	1.4259808627889917e-06
217	8.452401686818351e-06	14	4.150804777041077e-06
218	8.055684393968762e-06	8	3.127439636594826e-06
219	9.17113952308661e-06	13	5.2354145712254525e-06
220	6.78547269398699e-06	7	2.1257324692743635e-06
221	1.1700511556578537e-05	13	7.218980438515034e-06
222	7.091114348916204e-06	9	2.1826350416337628e-06
223	5.870788347628005e-06	5	1.1465791085967667e-06
224	6.658542395984973e-06	6	1.5385376313781862e-06
225	7.51599523398283e-06	9	2.692653996371104e-06
226	7.963469094513516e-06	11	3.4051021858697178e-06
227	7.260508826183309e-06	9	2.2898775780498137e-06
228	8.985591389434983e-06	8	3.229881114917674e-06
229	7.23952769592401e-06	11	2.660498160463618e-06
230	9.535816150482072e-06	11	4.228719681652822e-06
231	7.85386024609139e-06	13	3.150624234245099e-06
232	1.087273668088309e-05	9	5.594736373881463e-06
233	7.307029778131124e-06	8	2.358337641156143e-06
234	8.423557897610192e-06	10	2.991281934784589e-06
235	8.260702034865845e-06	9	3.3388912168885602e-06
236	6.758108615772317e-06	4	1.408948729005287e-06
237	7.262769740139428e-06	9	2.273954526079789e-06
238	7.383820787016375e-06	9	2.1523630379335887e-06
239	8.222516497003927e-06	14	3.508886425336287e-06
240	9.266274313467478e-06	10	4.771601904465418e-06
241	8.474576580272471e-06	10	3.6219743190192458e-06
242	1.5669782699301193e-05	9	1.0809847947696082e-05
243	7.136183912220455e-06	6	2.305895253879413e-06
244	8.38235117823456e-06	11	3.829931327964573e-06
245	7.007519221514683e-06	8	1.8593020588009584e-06
246	5.860261055428325e-06	4	1.1098045729267123e-06
247	1.2403837668849873e-05	8	6.795674250600239e-06
248	7.006673323185853e-06	11	2.467874924305283e-06
249	7.689512260557939e-06	7	2.4102736988860012e-06
250	7.067315944609222e-06	8	1.950160668276437e-06
251	8.654269049293534e-06	11	3.272284564015241e-06
252	7.456648889604549e-06	11	3.456903740331275e-06
253	7.210248922690009e-06	11	2.401756312291024e-06
254	5.987909675601378e-06	6	1.1902886321298054e-06
255	6.979023108910265e-06	10	2.2842428639129857e-06
256	6.034136357852442e-06	11	2.147566726540274e-06
257	7.673929109748088e-06	10	2.5697364578139255e-06
258	6.395183127788994e-06	10	1.9718075023233064e-06
259	8.21814168453868e-06	8	2.636931019437911e-06
260	8.762662751083975e-06	10	3.742585462138097e-06
261	1.564477623706707e-05	10	1.0647216238064196e-05
262	6.850488942213591e-06	11	2.9463804143660078e-06
263	8.502035597503407e-06	10	3.674836893331029e-06
264	8.486952170910565e-06	10	3.819469262688991e-06
265	7.2776938950759545e-06	9	2.1843451066816645e-06
266	1.090565363683227e-05	11	5.961476769423221e-06
267	8.139089808023038e-06	11	2.800808751192292e-06
268	7.071105506779658e-06	8	2.1740467356338217e-06
269	1.0190419474056106e-05	10	5.540203105307688e-06
270	6.509616595304645e-06	10	2.197086234037001e-06
271	1.0499800152106772e-05	11	5.098682327828634e-06
272	8.275355912429128e-06	11	3.7072744284687587e-06
273	6.222357051908002e-06	7	1.5382197436174105e-06
274	7.119419863854842e-06	8	1.7521185754489205e-06
275	9.038519940140683e-06	11	4.174176328443226e-06
276	7.113492056155903e-06	6	1.7156040356464196e-06
277	6.362190768832294e-06	7	1.5074864301553781e-06
278	6.473598181603779e-06	6	1.9185443998317586e-06
279	8.876012861642784e-06	9	3.4925642034107962e-06
280	8.050682588969176e-06	8	3.0886432519720608e-06
281	8.498836718365931e-06	12	3.7620988074556368e-06
282	9.556655533223862e-06	11	4.896688258662136e-06
283	6.897937317546645e-06	8	2.3176823227964108e-06
284	8.554983181588824e-06	14	3.916849808279502e-06
285	9.53274892753389e-06	10	4.262809707489966e-06
286	7.578318823259429e-06	12	3.1786882481200054e-06
287	1.2663135538467977e-05	12	7.750594139593375e-06
288	1.0507089336424986e-05	12	5.4537451866289755e-06
289	8.148686257788332e-06	14	4.2962938951677035e-06
290	7.950393858285894e-06	14	3.317842556840029e-06
291	7.156946030893807e-06	8	1.8081866623806736e-06
292	7.260701176968168e-06	9	2.604419062475415e-06
293	6.118183820576563e-06	9	1.958897955458032e-06
294	7.342332421397614e-06	8	2.164458903162591e-06
295	9.622103807411084e-06	9	4.260343075009341e-06
296	8.789935387235778e-06	10	3.979370126965101e-06
297	7.417103441625444e-06	7	2.3910254194822934e-06
298	1.022901001999343e-05	16	6.34828064620603e-06
299	7.690059597572517e-06	9	2.9555381935388043e-06
300	8.013245877072618e-06	10	3.265573870128199e-06
301	9.484939386379992e-06	10	5.1749495465115776e-06
302	8.791433454771117e-06	13	4.462501912853634e-06
303	7.203920180829173e-06	6	2.0664920138130205e-06
304	7.692745843845521e-06	9	2.737801227970441e-06
305	6.235745536482412e-06	6	1.3991339176634375e-06
306	7.904510658614735e-06	11	3.208046252292143e-06
307	6.770515013741241e-06	9	2.764241679025532e-06
308	7.64361342700146e-06	8	2.7376435562845818e-06
309	7.3268682330100665e-06	8	1.6920455118424544e-06
310	1.0301476654961883e-05	6	4.620476638419907e-06
311	7.048517474516075e-06	10	2.3175720266228517e-06
312	9.320158782223523e-06	12	4.621317404020744e-06
313	7.05012622081471e-06	10	2.6960794725923932e-06
314	1.0299534419686172e-05	14	5.671441844951745e-06
315	7.707069188272423e-06	11	3.032422028885771e-06
316	8.285877663277976e-06	9	3.0080278691493023e-06
317	7.66825093399586e-06	8	2.5076836896094937e-06
318	7.983870291809848e-06	10	2.9609283997835983e-06
319	7.0495160978534995e-06	8	2.3750362168459693e-06
320	7.743492093842597e-06	11	2.9460569082077666e-06
321	7.826685080865378e-06	9	2.9835729782189895e-06
322	5.85702094719647e-06	8	1.6525552114078223e-06
323	8.734632303168364e-06	11	4.17275588360449e-06
324	7.824656386214552e-06	8	2.5874914889772167e-06
325	7.205204770474765e-06	7	1.8547068832916841e-06
326	7.777901718059769e-06	10	3.204979015548242e-06
327	7.333011839971817e-06	10	3.0589615830026524e-06
328	8.299946925108544e-06	10	3.4869788068404627e-06
329	7.89972141922478e-06	11	2.951287496744562e-06
330	7.596655457982699e-06	8	2.2417835752557333e-06
331	7.272205373163977e-06	12	2.635226601837959e-06
332	8.176457900929113e-06	11	4.0816855191199635e-06
